model,store_id,sku_id,n,actual_units,mape_coverage,wape,mape,mae,rmse,smape,bias
catboost,STORE0002,SKU0040,14,312.0,1.0,0.2687409004074327,0.39817454703039806,5.989082923365643,7.043743783063002,0.2982678008279566,0.20095703393682
catboost,STORE0002,SKU0041,14,1295.0,1.0,0.23307262410825608,0.2889520666965845,21.55921773001369,26.781925778193305,0.25066097158050105,0.010625913936985377
catboost,STORE0002,SKU0042,14,178.0,1.0,0.283574653648721,0.5919682725667964,3.6054491678194522,4.806486465065756,0.33365840999479585,-0.024319677527103158
catboost,STORE0002,SKU0043,14,546.0,1.0,0.4132662891106864,0.5347572843713314,16.11738527531677,19.36583799226016,0.3857501824763007,0.3824074532147527
catboost,STORE0002,SKU0044,14,974.0,1.0,0.2664081406438496,0.49543329596919883,18.53439492765068,22.563680115943953,0.2956154323696466,0.053428050730464666
catboost,STORE0002,SKU0046,14,1470.0,1.0,0.20691334096642863,0.19928337701271934,21.725900801475007,30.77609822053805,0.20705565441324286,-0.13997225615514508
catboost,STORE0002,SKU0048,14,890.0,1.0,0.18818326544923464,0.19627287531660695,11.963079017844203,15.4562743653088,0.19194514038181193,-0.08450538697602372
catboost,STORE0002,SKU0051,14,762.0,1.0,0.25754857984390195,0.2967163255044678,14.01800127436095,16.952417056823773,0.26893340985166353,-0.04267101826361521
catboost,STORE0002,SKU0052,14,690.0,1.0,0.24838086601633724,0.23397096165165207,12.241628396519477,14.51506156440015,0.2615380976029408,-0.18841869795685723
catboost,STORE0002,SKU0054,14,1097.0,1.0,0.16286885871930784,0.19770653889727466,12.761938429648621,16.870440866407364,0.17161305768735785,0.05291507137267215
catboost,STORE0002,SKU0055,14,165.0,1.0,0.2570877913851952,0.7897743329014798,3.029963255611229,3.9949093038297874,0.31763452348555504,-0.13804058804641012
catboost,STORE0002,SKU0056,14,305.0,1.0,0.25057862276269244,0.23727482067281133,5.459034281615799,8.750028967421919,0.21892739197457756,-0.02763029011423885
catboost,STORE0002,SKU0058,14,1066.0,1.0,0.17759292440377766,0.23598317615764794,13.522432672459072,19.92951178694405,0.19203444479673284,-0.0037298229781807506
catboost,STORE0002,SKU0059,14,273.0,1.0,0.24511264935985325,0.750891223580977,4.779696662517138,6.29547371350398,0.29333516324365444,-0.01247871052694894
catboost,STORE0002,SKU0060,14,598.0,1.0,0.20362452826001398,0.279967913978103,8.697676278534884,10.724945952718436,0.2186832394535723,0.10116915052419975
catboost,STORE0002,SKU0062,14,188.0,1.0,0.40076645985219905,1.3759149272977764,5.381721032300959,6.732952715007278,0.4480611653923026,0.013056984507601418
catboost,STORE0002,SKU0063,14,529.0,1.0,0.5158821577267002,0.903146069438087,19.492975816958886,24.896826860662934,0.45310286738205124,0.26006149209795004
catboost,STORE0002,SKU0064,14,1120.0,1.0,0.29808468703579905,0.30789563015329785,23.846774962863922,29.601978854044194,0.3045469277058333,-0.11331683119269721
catboost,STORE0002,SKU0065,14,692.0,1.0,0.2916453569591347,0.37133305811222544,14.4156133582658,20.174636287485658,0.2757446791046289,0.14294953269041674
catboost,STORE0002,SKU0066,14,253.0,1.0,0.457298151819421,2.6410602251767523,8.264030886450966,10.638860203727148,0.5043246958244684,0.3569681010632119
catboost,STORE0002,SKU0069,14,1055.0,1.0,0.15267146283265173,0.16108440672004978,11.504885234889112,18.54040819555566,0.14833203188349636,0.03477357111629927
catboost,STORE0002,SKU0070,14,1187.0,1.0,0.2774973573656852,0.2904610028926303,23.52781165664774,30.249366759522573,0.27189542441750436,-0.007375730248688195
catboost,STORE0002,SKU0071,14,316.0,1.0,0.29224284707350395,1.0842688933433027,6.596338548230518,9.229501344557187,0.35316368384201846,0.14638556037364273
catboost,STORE0002,SKU0073,14,114.0,1.0,0.23035546991976388,0.23199751472956845,1.8757516836323629,2.4646890047547907,0.21924220799710117,0.010542286049371422
